Depth;ABDCQF01;ABDCQF02;ABDCQF03;ABDCQF04;BS;CALI;DRHO;DT;DTS;GR;NPHI;PEF;RACEHM;RACELM;RHOB;ROP;RPCEHM;RPCELM;RT
2619.8;2.5538;2.5712;2.5055;2.5014;8.5;8.5;0.0486;87.3753;181.3741;48.4883;0.2229;7.2445;1.005;0.8472;2.4901;13.8923;1.9548;1.3111;1.9548
2619.9;2.5862;2.5705;2.5124;2.5291;8.5;8.5;0.0648;86.7117;181.2219;49.9066;0.2333;7.2138;1.0786;0.8462;2.5158;13.7831;2.3321;1.4104;2.3321
2620;2.6059;2.5383;2.4906;2.5423;8.5;8.5001;0.0798;86.0484;181.0697;48.4469;0.2479;7.0271;1.114;0.8361;2.5199;6.539;2.6895;1.4836;2.6895
2620.1;2.6061;2.4878;2.4524;2.542;8.5;8.5233;0.0881;85.5393;180.8952;51.754;0.2613;6.7356;1.1309;0.8232;2.5033;6.5414;2.6885;1.4956;2.6885
2620.2;2.583;2.4354;2.4148;2.5326;8.5;8.5;0.0882;85.269;180.6865;53.4699;0.2776;6.4257;1.1926;0.8138;2.4735;6.5439;2.4076;1.465;2.4076
2620.3;2.5421;2.3941;2.3886;2.5182;8.5;8.5001;0.0793;84.9989;180.478;54.7368;0.2814;6.205;1.2633;0.7964;2.4374;6.5451;2.1613;1.408;2.1613
2620.4;2.4968;2.3723;2.373;2.4989;8.5;8.5468;0.0598;84.8673;180.3544;56.01;0.2701;6.2565;1.2793;0.776;2.3991;6.5464;1.7524;1.2801;1.7524
2620.5;2.4566;2.3746;2.3609;2.4698;8.5;8.5;0.0324;84.9989;180.3924;59.4638;0.2582;6.7232;1.0298;0.7359;2.3666;6.5462;1.4127;1.1259;1.4127
2620.6;2.4192;2.397;2.348;2.4273;8.5;8.5001;0.0116;85.1309;180.4306;58.9413;0.2464;7.4329;0.7405;0.632;2.3536;6.546;2.9465;1.0365;2.9465
2620.7;2.3731;2.4196;2.3354;2.3749;8.5;8.5233;0.0166;85.3499;180.5808;48.1715;0.2438;7.9119;0.7493;0.5207;2.3719;6.5458;8.1277;0.9817;8.1277
2620.8;2.3133;2.4149;2.3251;2.3239;8.5;8.5;0.053;85.7754;180.996;37.3288;0.2504;7.7413;0.8986;0.4562;2.4118;6.507;6.7262;0.8766;6.7262
2620.9;2.2508;2.3697;2.3138;2.2849;8.5;8.4844;0.0992;86.201;181.4115;31.4389;0.2602;6.8975;1.0059;0.4156;2.4357;6.4681;3.297;0.7633;3.297
2621;2.203;2.2983;2.2947;2.2606;8.5;8.4688;0.1225;86.6579;181.9283;27.5371;0.2664;5.7841;0.8568;0.3883;2.4051;6.4295;2.2905;0.6825;2.2905
2621.1;2.1781;2.2298;2.2652;2.2454;8.5;8.4844;0.1118;87.2094;182.7508;25.8597;0.2688;4.9392;0.7897;0.354;2.3291;6.459;4.2366;0.7258;4.2366
2621.2;2.1726;2.1856;2.2313;2.2327;8.5;8.5;0.0838;87.7608;183.5735;25.6515;0.2704;4.5605;0.8588;0.3264;2.2478;6.4886;9.4388;0.8125;9.4388
2621.3;2.1764;2.1671;2.2026;2.2182;8.5;8.5;0.0625;88.2755;184.4055;26.3763;0.2725;4.5081;0.9748;0.3211;2.1962;6.518;11.2989;0.803;11.2989
2621.4;2.1808;2.1623;2.185;2.2023;8.5;8.5;0.056;88.6441;185.2745;26.6626;0.2738;4.5837;1.1759;0.3235;2.1781;6.5195;8.0709;0.7686;8.0709
2621.5;2.1821;2.1618;2.1773;2.1874;8.5;8.5;0.0564;89.0126;186.1432;28.1464;0.2729;4.6876;1.4717;0.3231;2.1744;6.5211;7.3016;0.8192;7.3016
2621.6;2.1804;2.163;2.1754;2.1763;8.5;8.5;0.0573;89.3655;186.9263;29.2478;0.2695;4.759;1.7924;0.322;2.1738;6.5226;14.2226;0.9326;14.2226
2621.7;2.1788;2.1664;2.1783;2.1716;8.5;8.5;0.0566;89.6318;187.2349;34.2543;0.266;4.7794;2.4317;0.3211;2.1751;6.5126;110.2165;1.2007;110.2165
2621.8;2.1803;2.1723;2.1862;2.1738;8.5;8.5;0.0541;89.8981;187.5435;38.2185;0.2641;4.7631;3.8521;0.3235;2.1788;6.5076;568.6587;1.6043;568.6587
2621.9;2.1849;2.1788;2.1955;2.1813;8.5;8.5;0.0508;90.1494;187.8067;39.9953;0.2643;4.7394;4.3858;0.3368;2.1846;6.5082;76.2622;1.8272;76.2622
2622;2.1903;2.1829;2.2012;2.1903;8.5;8.5001;0.0492;90.2747;187.6854;41.2705;0.2648;4.744;4.0535;0.3531;2.1922;6.5089;130.9393;1.8285;130.9393
2622.1;2.1945;2.1821;2.2009;2.1977;8.5;8.5469;0.0506;90.4;187.564;42.3536;0.2605;4.9181;3.6294;0.3682;2.1926;6.5095;184.2854;1.8089;184.2854
2622.2;2.1979;2.1784;2.1972;2.2018;8.5;8.5469;0.0494;90.53;187.4187;42.4933;0.2563;4.8772;3.3257;0.3778;2.1921;6.5127;128.1807;1.7614;128.1807
2622.3;2.2011;2.175;2.1946;2.2038;8.5;8.5469;0.0479;90.7359;186.8835;42.3101;0.2559;4.84;2.9537;0.3874;2.1913;6.5159;78.7557;1.6966;78.7557
2622.4;2.2024;2.1743;2.1954;2.2051;8.5;8.5469;0.0468;90.9418;186.3483;41.9449;0.2587;4.8223;2.5914;0.4001;2.1917;6.5191;38.3718;1.6322;38.3718
2622.5;2.2015;2.1763;2.1987;2.2063;8.5;8.5469;0.0462;91.1462;185.8179;41.0961;0.263;4.8223;2.4854;0.4121;2.1933;6.5195;22.3927;1.6091;22.3927
2622.6;2.2001;2.1803;2.2036;2.2067;8.5;8.5469;0.0463;91.4087;185.6696;41.1784;0.2663;4.8349;2.484;0.4184;2.1959;6.52;21.4846;1.6445;21.4846
2622.7;2.2002;2.1854;2.2104;2.2074;8.5;8.5469;0.0476;91.6693;185.5222;41.5188;0.2664;4.8497;2.2506;0.4242;2.2;6.5205;24.3846;1.6797;24.3846
2622.8;2.2027;2.1907;2.2177;2.2082;8.5;8.5469;0.0493;91.9292;185.3748;41.6751;0.2635;4.8584;1.8957;0.4363;2.2048;6.5261;17.8654;1.6225;17.8654
2622.9;2.207;2.1963;2.2231;2.2093;8.5;8.5469;0.051;91.9478;185.2192;42.5598;0.2605;4.8697;1.7529;0.4482;2.2091;6.5317;11.7504;1.5593;11.7504
2623;2.2119;2.2031;2.2246;2.2105;8.5;8.5469;0.0524;91.9561;185.0632;41.6497;0.2604;4.8988;1.6786;0.4517;2.2123;6.5374;11.8207;1.555;11.8207
2623.1;2.2168;2.2102;2.2224;2.211;8.5;8.5469;0.0534;91.9642;184.9073;42.1007;0.2629;4.9469;1.5899;0.4529;2.214;6.5401;14.6322;1.5443;14.6322
2623.2;2.2202;2.215;2.2198;2.2105;8.5;8.5469;0.0542;91.8505;184.7774;43.6892;0.2645;4.9922;1.5399;0.4531;2.2145;6.5429;16.0918;1.4932;16.0918
2623.3;2.2209;2.2158;2.219;2.2084;8.5;8.5469;0.0539;91.7249;184.6501;43.7001;0.2619;5.0077;1.4633;0.4544;2.2136;6.5457;15.5279;1.4381;15.5279
2623.4;2.2197;2.2142;2.2201;2.2047;8.5;8.5469;0.0523;91.5993;184.5224;43.8383;0.2547;4.9907;1.3375;0.459;2.2122;6.5392;13.296;1.3578;13.296
2623.5;2.2188;2.214;2.2236;2.202;8.5;8.5469;0.0498;91.4705;184.2686;44.0466;0.2453;4.9644;1.195;0.4721;2.2125;6.5261;8.6246;1.2591;8.6246
2623.6;2.2208;2.2179;2.2306;2.203;8.5;8.5469;0.0474;91.3411;183.9948;45.4675;0.2372;4.957;1.1337;0.4892;2.2166;6.5329;5.3746;1.1852;5.3746
2623.7;2.2268;2.2257;2.241;2.2086;8.5;8.5469;0.0463;91.212;183.7213;45.6867;0.234;4.9752;1.1155;0.502;2.2247;6.5396;4.2264;1.1641;4.2264
2623.8;2.2353;2.2347;2.2513;2.2166;8.5;8.5469;0.0467;91.1957;183.5993;45.661;0.2368;4.9981;1.0973;0.5059;2.2335;6.5463;4.5446;1.186;4.5446
2623.9;2.2436;2.241;2.2548;2.2229;8.5;8.5469;0.0482;91.205;183.5115;43.289;0.2431;4.9998;1.0976;0.498;2.2386;6.5468;7.1255;1.2384;7.1255
2624;2.2475;2.2413;2.2474;2.2242;8.5;8.5469;0.0494;91.2149;183.4236;42.1765;0.2491;4.9676;1.1034;0.4844;2.2365;6.5472;17.2238;1.3315;17.2238
2624.1;2.2433;2.2346;2.2311;2.2202;8.5;8.5469;0.0491;91.4654;183.3106;41.8812;0.2529;4.9087;1.1146;0.4753;2.2274;6.5476;31.4569;1.3729;31.4569
2624.2;2.2311;2.2233;2.2133;2.2137;8.5;8.5469;0.0475;91.7887;183.1901;40.5106;0.2543;4.8452;1.092;0.4801;2.2154;6.5455;25.824;1.3215;25.824
2624.3;2.2161;2.2129;2.2027;2.209;8.5;8.5469;0.0459;92.1124;183.0695;40.1228;0.2542;4.8006;1.0043;0.4953;2.2066;6.5434;11.9662;1.2391;11.9662
2624.4;2.2047;2.2078;2.2033;2.2089;8.5;8.5469;0.0458;92.6252;182.8828;41.0956;0.2549;4.7879;0.9229;0.5201;2.2046;6.5413;5.3241;1.1358;5.3241
2624.5;2.2;2.2083;2.2119;2.2127;8.5;8.5469;0.0474;93.2116;182.6706;40.3331;0.2591;4.8021;0.8873;0.5468;2.2081;6.5417;3.126;1.0579;3.126
2624.6;2.2001;2.2118;2.2232;2.2175;8.5;8.5469;0.0498;93.7981;182.458;40.144;0.2681;4.8322;0.8899;0.562;2.2135;6.5421;2.5675;1.0277;2.5675
2624.7;2.2022;2.2152;2.2334;2.2211;8.5;8.5469;0.0522;94.3957;182.1187;40.236;0.2807;4.8725;0.9149;0.5739;2.2183;6.5426;2.4201;1.0303;2.4201
2624.8;2.2047;2.2166;2.2399;2.2237;8.5;8.5469;0.0532;94.9989;181.7175;41.3417;0.2954;4.9263;0.9417;0.5796;2.2214;6.5404;2.712;1.0681;2.712
2624.9;2.2062;2.2158;2.2416;2.2265;8.5;8.5469;0.0508;95.6017;181.3165;41.2172;0.3102;5.0062;0.9485;0.5866;2.2229;6.5383;3.0884;1.1242;3.0884
2625;2.2049;2.2172;2.243;2.2305;8.5;8.5469;0.0455;96.0666;181.0786;42.6842;0.3223;5.1324;0.9532;0.6037;2.2259;6.5367;3.1174;1.1573;3.1174
2625.1;2.2014;2.2265;2.2522;2.2388;8.5;8.5469;0.0407;96.4484;180.9388;46.3911;0.3282;5.3063;0.9503;0.6275;2.2347;6.7166;2.7222;1.1526;2.7222
2625.2;2.2009;2.2455;2.271;2.254;8.5;8.5469;0.0391;96.8298;180.7996;50.9263;0.3269;5.5015;0.9449;0.6523;2.2513;6.8964;2.318;1.1405;2.318
2625.3;2.2098;2.271;2.2952;2.2757;8.5;8.5469;0.0408;97.0615;180.8927;59.5298;0.3214;5.6698;0.9423;0.6739;2.2731;7.0764;1.974;1.1235;1.974
2625.4;2.2308;2.2943;2.3143;2.2988;8.5;8.5469;0.0445;97.1829;181.1568;65.8964;0.3148;5.7455;0.9416;0.6939;2.2937;7.2782;1.7043;1.0985;1.7043
2625.5;2.2609;2.3082;2.3214;2.3157;8.5;8.5469;0.0472;97.3041;181.4215;68.4103;0.3086;5.7169;0.9537;0.7126;2.3073;7.6799;1.5395;1.0808;1.5395
2625.6;2.2905;2.3113;2.3166;2.3243;8.5;8.5469;0.0476;97.3509;181.9447;67.4035;0.3038;5.6176;0.954;0.7247;2.3123;7.8478;1.5141;1.0922;1.5141
2625.7;2.3098;2.3078;2.3069;2.327;8.5;8.5469;0.0462;97.3311;182.6991;66.1579;0.301;5.5133;0.9521;0.7362;2.3115;8.0156;1.5718;1.117;1.5718
2625.8;2.318;2.3049;2.2994;2.3279;8.5;8.5469;0.0449;97.3113;183.4537;64.3415;0.3009;5.4715;0.9608;0.7493;2.3099;8.1835;1.5999;1.1468;1.5999
2625.9;2.3234;2.3059;2.2978;2.329;8.5;8.5469;0.0445;97.3205;184.3431;64.1063;0.3031;5.5161;0.9761;0.7643;2.3107;8.3602;1.5664;1.1599;1.5664
2626;2.3319;2.31;2.3022;2.33;8.5;8.5469;0.0454;97.361;185.3786;64.7338;0.3058;5.6268;1.0095;0.7802;2.315;8.537;1.4696;1.1577;1.4696
2626.1;2.3409;2.3158;2.3115;2.3319;8.5;8.5469;0.0473;97.4018;186.4142;66.159;0.3069;5.7457;1.0289;0.7943;2.3214;8.7137;1.3698;1.1435;1.3698
